State,FIPS,DSCI,date
CA,06047,0,2011-06-14
CA,06047,0,2011-06-21
CA,06047,0,2011-06-28
CA,06047,0,2011-07-05
CA,06047,0,2011-07-12
CA,06047,0,2011-07-19
CA,06047,0,2011-07-26
CA,06047,0,2011-08-02
CA,06047,0,2011-08-09
CA,06047,0,2011-08-16
CA,06047,0,2011-08-23
CA,06047,0,2011-08-30
CA,06047,0,2011-09-06
CA,06047,0,2011-09-13
CA,06047,0,2011-09-20
CA,06047,0,2011-09-27
CA,06047,0,2011-10-04
CA,06047,0,2011-10-11
CA,06047,0,2011-10-18
CA,06047,0,2011-10-25
CA,06047,0,2011-11-01
CA,06047,0,2011-11-08
CA,06047,0,2011-11-15
CA,06047,0,2011-11-22
CA,06047,0,2011-11-29
CA,06047,0,2011-12-06
CA,06047,0,2011-12-13
CA,06047,0,2011-12-20
CA,06047,100,2011-12-27
CA,06047,200,2012-01-03
CA,06047,200,2012-01-10
CA,06047,200,2012-01-17
CA,06047,200,2012-01-24
CA,06047,200,2012-01-31
CA,06047,200,2012-02-07
CA,06047,200,2012-02-14
CA,06047,200,2012-02-21
CA,06047,200,2012-02-28
CA,06047,200,2012-03-06
CA,06047,300,2012-03-13
CA,06047,300,2012-03-20
CA,06047,300,2012-03-27
CA,06047,300,2012-04-03
CA,06047,300,2012-04-10
CA,06047,205,2012-04-17
CA,06047,200,2012-04-24
CA,06047,200,2012-05-01
CA,06047,200,2012-05-08
CA,06047,200,2012-05-15
CA,06047,200,2012-05-22
CA,06047,200,2012-05-29
CA,06047,200,2012-06-05
CA,06047,200,2012-06-12
CA,06047,200,2012-06-19
CA,06047,200,2012-06-26
CA,06047,200,2012-07-03
CA,06047,200,2012-07-10
CA,06047,200,2012-07-17
CA,06047,200,2012-07-24
CA,06047,200,2012-07-31
CA,06047,200,2012-08-07
CA,06047,200,2012-08-14
CA,06047,200,2012-08-21
CA,06047,200,2012-08-28
CA,06047,200,2012-09-04
CA,06047,200,2012-09-11
CA,06047,200,2012-09-18
CA,06047,200,2012-09-25
CA,06047,200,2012-10-02
CA,06047,200,2012-10-09
